,0
0,《老芭》
1,探店厚比多……
2,这两箭帅的
3,接下来是原魔超绽放操作展示
4,菲米尼一刀1w
5,班尼特甚至满命
6,超绽放＞低金妮绽放＞烈绽放＞原绽放
7,哭死，他在试图教会我们
8,想起了3.0芭芭拉草本的逆天冻绽放
9,元素反应的魅力
10,开服59级？
11,芭芭拉最强的一集
12,我们玩的是同一个游戏吗
13,热知识：没人在意你深渊满没满，满的人很多
14,《展示容错》
15,这伤害。。。！！！
16,龙族！
17,高速神言
18,《策劃》
19,流水的五星 平民永远的深渊战神点秋香
20,似曾相识的冻绽放
21,哇好久没看见弓箭破弱点了
22,熟悉！
23,我个人感觉把别人封神榜删了有点不妥
24,上半dot队下半量子战舰
25,冻绽放
26,居然和我专武水龙不相上下
27,《星星的叫》
28,难道他真的是天才？
29,《两只策划》
30,赛博封神榜
31,种门照亮世界！
32,印度国父甘地
33,不同的试卷选出一样的草神队和龙芙队（
34,上半银枝下半饮月君【】
35,妮露青春版
36,龙兽是最简单的一层了（笑哭）
37,明显嘴巴有点跟不上脑子了（狗头）
38,up牛啊
39,打之前22（还是51？）体力，现在104
40,好家伙，死亡笔记
41,升华了还（狗头）
42,真就半秒钟都没剩下啊
43,《珐国配队》
44,专家会诊
45,沙虫本身的设计就是准备让玩家用扩散破球的
46,$¥%&*^@给哈哈哈开始高速神言了
47,经典暂停加伤害，崩三来的吧
48,烈绽放也是群伤罢（）
49,这就是我们点秋香热血沸腾的组合技！
50,山顶洞人号
51,西风主线有送，我以前开小号就送了
52,至少全90级（doge）
53,赌等于凹
54,比我10金队打的快
55,全角色90级
56,吃葡萄不吐葡萄皮
57,完结撒花
58,时间还很充裕，指还剩三秒
59,埃洛伊捏
60,打个深渊都能这么燃
61,还能再融件圣遗物
62,极限跳秒
63,细节点蚊香
64,芭芭拉水最多的一集
65,嗯？不对啊？不是珐露珊吗？怎么变成了中二少女？
66,受害者名单
67,都59了不可能满吧
68,流水的深渊，铁打的种门
69,看弹幕我都以为现在是22年。。。。
70,可惜芭芭拉水环被改了
71,6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666
72,emo 抽根烟缓一下
73,这好比于二元一次方程解微积分？
74,哈哈哈哈
75,啊？
76,6
77,有点烟的声音
78,有点烟的声音
79,格局大开
80,937抽号都老了
81,开服号
82,这就是种门，只看产草种子角色的等级和精通，萌新的神
83,提前蕾姆
84,皇女换非2命雷神也是一样香菱C
85,帅死了
86,最好不是你自己预设的节目效果  孝鼠2333333
87,孝鼠2333333   我觉得这就是个自卖自夸的广告  484有这回事儿还有待商榷  靴靴2333333
88,应该说是10位同僚封了他  靴靴   孝鼠2333333  分不清主次  是谁求谁啊
89,孝鼠2333333 换个暴击头叭  凹那个暴击不知道多辛苦
90,孝鼠2333333  火伤杯输出  班尼特
91,54的暴击率有鬼用 就算拿鱼叉也才66  经常不暴击  还不如换暴击头  孝鼠2333333
92,觉得很错  关注都不会有  更别想三连  靴靴2333333
93,孝鼠2333333  号主一直白嫖啊¿  也是够恶熏了   不过主播们也是为了出名   这点苦还是得吃的  不然哪儿来的素材做视频  孝鼠2333333
94,肯定啊  超绽放不管谁放  效果都一样  孝鼠2333333
95,被对面机器人打出超绽放  孝鼠2333333
96,孝鼠2333333  结果并没有蒸发    2333333太好孝了叭
97,右边  孝鼠2333333  方向小能猪  2333333
98,雷国输出是点秋香，雷神是充电宝
99,芭天后的含金量
100,法国队
101,鸟国
102,芭芭拉是种门亲女儿
103,封原神榜
104,封神榜、
105,Bgm 起
106,0抽号
107,看到最后感觉自己有点丢人。最近才满星。
108,感觉达成了艾尔登法环
109,当做 主机游戏玩了，不抽卡，角色全靠送
110,全 90级都打不满，确实能力不行，
111,你的沉默震耳欲聋!
112,牛
113,跳秒了啊
114,所以我57级深渊满不了，是少练度还是少思路?
115,[OHHHH]
116,[OHHHH]
117,[OHHHH]
118,[OHHHH]
119,6
120,666
121,当你越有钱优越权，氪的越多，你就能无视老师给你发的试卷，甚至还能反着来。最终你都能站上顶端
122,uid是100开头的，应该是开服那阵建的号
123,全是送的
124,啊这……
125,新概念雷国
126,卧槽
127,极限！
128,太极限啦！
129,1000+人？
130,拉满了
131,疯狂产种子，引爆种子造成伤害
132,哪怕59出来了都还有大半秒的容错的，尝过压线深渊的基本都知道
133,主播看着英雄池十多秒没说话点了跟烟
134,一共打了5小时中间出去和家人吃饭2小时
135,崩3玩家都没你能凹
136,其实不算肝帝。开服玩家，慢慢玩也早就全图了
137,天生自抽号圣体
138,另立天地宇宙
139,啊？？？
140,第一次看到有人打原神深渊重开和打总力战一样
141,蒙德雷神是吧
142,赏心悦目
143,-
144,象牙塔！！！！！
145,6666666
146,正常在哪？
147,极限啊
148,这香班练度可以
149,这伤害比我高多了
150,几乎大部分都是送的
151,道友请留步
152,我香菱还不会放锅巴呢 咋办
153,《帕鲁》
154,+
155,死去的回忆疯狂的攻击我
156,埃洛伊得那天登录才有
157,啊？
158,开始rap
159,投币啦宝子！
160,卧槽！！！
161,卧槽！！
162,啊？
163,我抄 龙族
164,有5星一眼爽
165,怎么不像铁道可以下半重开
166,此时一个自信的小伙子登上了账号
167,奇怪 我好像看到59了为啥还是3星？
168,哈哈哈
169,这聚怪太帅了
170,死亡笔记啊
171,太牛了 这走位聚怪
172,[ohhhhhhhhhhhhhhhh]
173,。。。0命点秋香
174,脑部乘区
175,害新地图我第一天就慢了
176,我靠，能打这么快的
177,你不说我都没听出来
178,真技术主播
179,《高等元素反应论》
180,极限
181,nb
182,学医救不了深渊
183,讲话比出伤快
184,燃
185,怎么了，是不爱说话吗
186,woc极限
187,wocNB
188,上一把错轴了还能提（？
189,是不是找关注免费找一点探索度的主播
190,残局
191,00000 0000000000000000000000
192,芭芭拉在开服主线送了一次，后面更新了版本又送了一次
193,关于我一个技能就能秒的BOSS别人打了4分钟
194,不信再看看
195,画面静止
196,不是已经6.59了吗
197,极限！
198,逆天香菱
199,啥也不说了，这都凹的过去我TM直接三连+转发
200,bgm独角兽高达炒冷饭来的，但是挺好吃
201,这玩意比我那维打的还快｛是0命，而且还是小毕业
202,为啥我打的时候第二个技能总是那个漩涡
203,可能是活动送的
204,暂停是为了充能啊
205,送的北斗没有吗
206,获奖感言
207,缺多莉，估计退过一阵子
208,奥兹锅巴：这家没我俩得散
209,我靠，燃起来了
210,太极限了
211,龙族！！！！！！
212,上半银枝队，下半量子战舰（
213,还好有个点秋香
214,三连了，太牛了
215,俺也一样
216,孩子，你无敌了
217,耻辱柱
218,不打下来会掉伤害的
219,救命哈哈哈哈哈哈哈哈哈哈哈哈
220,哈哈哈哈哈哈
221,当当当
222,牛逼
223,我6金打不过
224,啊？
225,66666
226,蓟县！
227,拉满了
228,天才
229,号主这不上个舰
230,乐0命行秋
231,我妮绽放也一直用的芭芭拉  真不需要心海
232,四舍五入
233,太厉害了 做一件事情做到了极致  像你学习
234,是我看错了吗，香菱转一下两万？？？
235,他这才叫玩游戏
236,看uid100开头是开服号
237,太痛了
238,游戏理解拉满了
239,击坠记号
240,哈哈哈哈
241,氢氧根离子
242,啊？？？
243,不得不投币了
244,牛逼
245,这细节
246,熟练的让人心疼
247,牛逼
248,《策划》
249,这手法
250,龙
251,啊？
252,我之前就是这个队
253,[ohhhhhhhhhhhh]
254,蓟县！
255,WC！！！！！！
256,wocal！！！
257,好家伙，我uid25开头的全勤号都快60级了
258,我超，我以为我电话来了
259,这也没猫猫，应该断过，猫猫送过的
260,《满图鉴》
261,什么都没有抽，前面讲过了
262,4
263,[ohh]
264,[ohhhh]
265,我去，这么细，还好我是玩龙王和雷国的
266,菲谢尔咋不穿新衣服
267,你币有了
268,我只能说，牛逼
269,树脂直接从22打到104了
270,哈哈哈哈哈哈哈
271,帕鲁？
272,牛逼啊
273,你为什么不说话了？
274,woc太不容易了
275,开服才59级，这有啥肝的？我26开头都59级了
276,哈哈哈哈哈
277,折磨主播的账号 哈哈哈哈哈
278,原来这两只球会走路的
279,象牙塔
280,什么叫操作乘区？这就是
281,哇 居然有五星角色诶
282,全体起立！
283,啊？
284,《诛仙榜》
285,有一个活动送过
286,嘉明点秋香
287,理解力厉害
288,珐露珊国际=法国
289,相比于前两间，第三间的随便打
290,竟然比我玉米队打的都快
291,不应该有个草五星吗？
292,6
293,好家伙 四个后台脱手角色
294,极限了
295,我没看怪，没带弓箭手进去，硬等到它自己下来T^T
296,没有埃洛伊，没有瑶瑶
297,龙！
298,笑死我了
299,.123
300,牛逼
301,还能融两件
302,哪来的帕鲁
303,极限
304,一个肝帝遇到了另一个肝帝
305,受害者排行榜
306,普池来的
307,牛逼
308,前面那个，这叫练度不好？
309,我都不知道这个怪会走位。。。
310,龙族
311,第二层打满后退出换上皇女重打的
312,真的牛逼
313,我甚至不知道boss机制
314,辛苦了
315,我哥真帅！！！！
316,孩子你无敌了
317,无脑龙王
318,真托阮启动！
319,前面的不要ky，知道6+5真门对单薄纱65饮月吗[doge]
320,龙族！
321,练度就不够 角色还没有 做梦呢打深渊 我凯亚没buff一转7k（厨子
322,艾国
323,还有原始国家队
324,上半那两个最好有雷因为那俩玩意儿是草而且伤害极高
325,[ohhhhhhhhhhhhhhhhhh]
326,[ohhhhhhhhhhhhhhhhhh]
327,666
328,确实挺帅的uo
329,牛逼
330,上半饮月君，下半刃
331,开局西风弓是会送一把的
332,崩三同款暂停
333,象牙塔耶
334,没全100能叫顶级肝帝？
335,极限
336,厉害
337,牛批！！！
338,说明不抽，靠老角色没用，存在过气说法
339,唯有沉默
340,+
341,班尼特，行秋，香菱打一半
342,哈哈哈
343,++++++++++++++++++++
344,冻结护草
345,随时奉陪
346,我勒个痘
347,第二間琺姐應該是回頭凹滿的
348,西风弓箭过完蒙德主线会给一把
349,？？？
350,为什么没埃洛伊
351,挣扎一下，要吃饭
352,别说了，57级完全听不懂
353,我*牛*
354,真正的顶级手法怪！
355,我潮，龙
356,燃起来了！
357,上榜！
358,rapper
359,5
360,熟让痛
361,熟让痛熟让痛
362,熟让痛
363,666666666666
364,太痛了
365,5
366,我二周年后入坑的都60了
367,6666
368,咋没有埃洛伊
369,真的极限啊我都看到6:59了
370,哇哦，那你好厉害啊
371,运气好啊
372,哈哈哈哈哈
373,行秋可以锁一轮剑雨的面板
374,当时是把草种判定成怪物达成超高频率范围挂水，就是bug，你草种子算怪物？
375,g
376,强
377,厉害啊
378,火伤杯
379,笼族！！！！！！！！！！！！！！！！！！
380,咦怎么没有迪奥娜呢？我记得送过？
381,燃起来了
382,他点了支烟回忆从前……
383,这个怪的机制是啥呀？
384,全角色满级怎么可能痛苦呢？
385,x来一根哈哈哈哈哈
386,珐露珊：咱們真厲害
387,不同的环境掏出相同的万达。还有神里永冻(偶尔换一下队友)
388,好好好
389,屬於是把芭芭拉當妮露用了
390,太牛了哥们
391,我欣慰的笑了
392,妮绽放不能冻
393,牛逼
394,这才是游戏理解
395,全是送的
396,不错了，至少六星战神点秋香都有
397,老芭血条似曾相识(
398,夺少？
399,刃三次被动秒了
400,让我想起某吕氏春秋
401,他甚至没有一个岩系
402,蓟县！！！！
403,我去 活动武器和钓鱼武器和剧情武器的重要性啊
404,角色虽然没命座但是都养到极致了
405,看过第12位
406,我超，龙族
407,等着抽天理？（
408,这里用了一次露露，打满了第2层下半，后退出重新改配队不理第2层满不满
409,我开服四星打深渊也是这层最简单
410,字幕崩溃
411,质量简谱（）
412,我菲米尼也差不多这程度
413,卧槽
414,珐露珊怎么换城皇女了
415,香菱太淦了
416,牛逼！
417,牛啊
418,卧槽这香菱
419,这就是3.0t0大c芭芭拉！！
420,这就要靠高贵的手部乘区了
421,快成rapper了
422,量子战舰启动
423,载入史册
424,6
425,6
426,三连了
427,蓟县！
428,我打这条蛇 他就没有滚过地板
429,关注给了，原神区第三个 up 主
430,升华时刻
431,币给了，向你致敬，感谢你愿意凹五个小时。
432,也向号主致敬一下，真的佩服这么能囤的屯屯鼠
433,币给了，向你致敬，感谢你愿意凹五个小时。
434,主播辛苦了，三连
435,？
436,动帧格力
437,第二间结束就意味着满星了，棒
438,还有六百人啊
439,2333
440,比我三金队快，自惭形秽力（）
441,又疯了一个
442,你的沉默震耳欲聋
443,不仅很久没玩，而且中间很多活动不做
444,非静止画面
445,我试图把这个理解刻进脑子里
446,盲猜一手 他找代肝了
447,玩幻兽帕鲁玩的
448,牛批！
449,别搁这炫耀了……
450,蓟县
451,什么！莱依拉教官套还 16 级！
452,真是开服号码不是科技？
453,哈哈哈哈哈
454,好了，快结束，该换我接手了
455,这不是基操？
456,艾国队
457,怎么可能满命，都说0抽了。。。动动脑子
458,挺有意思的这号，我要有耐性我也开一个，只是现在没时间了
459,新地图满了的不就是肝帝吗
460,开服没满级的多了去了，原神到现在都不是60级占大头
461,蓟县！
462,厉害
463,牛
464,好牛逼
465,蓟县
466,专家会诊
467,来一首《all my  people》
468,10秒足够
469,牛逼
470,哪有小孩天天哭，哪有赌徒天天输。领域展开，坐杀博徒！！
471,看得出来，主包愣住了
472,开服早60级了
473,哈哈哈三个小时
474,笑死我了 真极限啊都59了
475,我也不知道我玩小缇的不知道什么是瞄准
476,非静止画面
477,卧槽 真的牛逼
478,嘶嘶嘶~，成分复杂，难评
479,确实是雷国啊，没毛病
480,帅
481,相声
482,你十七张牌能够秒我？
483,升华
484,就算打满对号主来说有啥意义 他自己都不想满
485,等等 深渊里面可以换人的吗？？
486,比我胡行钟和草行久都快。
487,看来有人没打过痛苦号啊，非常极限的59秒是算满星的
488,听不懂，我玩水龙的
489,我也开服玩家，也没满过星
490,？？你搞笑呢，第二次海岛240开头我就是，他110
491,见证历史了，兄弟们
492,龙族狂喜啊
493,此处非静止画面
494,-
495,可以的
496,666!!
497,刀子
498,这个就叫做有远见，等天理出来再抽
499,能不能看UID啊，UID100开头的，是2.4版本海岛之后注册的吗，能不能睁开眼啊
500,哈哈哈哈哈哈哈哈
501,？？？？？？？？？？？？？？？？？
502,牛大了
503,蓟县
504,三连了
505,新地图两天就全100%
506,6
507,御命三家其实可以的
508,普攻一万。。。。
509,去隔壁借一个弱点击破过来
510,《只原》
511,冻绽放是个啥？
512,但又不是，只有砂糖和珐露珊能扩散锅巴
513,啊？
514,哇龙
515,..
516,厉害厉害
517,我记得三点几版本的时候有送一次珐露珊
518,《 处 刑 名 单 》
519,那什么开服，埃洛伊没领吗。。。。
520,耻辱柱hhhh
521,自己看uid，开服玩家不代表开服玩到现在
522,我都60了，我也大不满
523,61秒游戏
524,一眼爽
525,什么是BOX？
526,帕鲁哈哈哈哈
527,牛逼
528,干沉默了哈哈哈哈哈
529,蓟县
530,珐露珊？
531,我感觉我现在强的可怕！！
532,牛逼！
533,蒙徳雷神也是雷神
534,战术蚊香
535,好快啊
536,这故事太励志了，我哭死
537,没诶罗伊？
538,开服大佬这样的都没满级的吗
539,在体术方面我斑愿称你为最强！！！
540,不算开服大佬  俄洛伊都没有
541,能满只是因为深渊很简单、
542,偷看武功秘籍
543,注意，丽莎阿姐883精通
544,怪打了两下超绽放种子打自己身上没绷住
545,深深推土机可以的
546,啊？
547,非米尼拿龙脊雪山的大剑伤害更高，这个非米尼不如我的
548,前面那个 我还觉得把人封神了不妥呢 打满了确实可以到此结束了
549,、、、、、、、、、、、
550,蓟县
551,44000
552,刺激
553,原来我是真的手残
554,暂停吃球
555,6啊，真的细节
556,哈哈哈哈哈哈哈哈哈
557,哈哈哈哈哈
558,啊这
559,菲米尼还是很好上万的
560,跟我芙特队差不多？
561,快乐星猫好评
562,我去都跳59了
563,啊？
564,我还要说这不是有手就行?
565,埃洛伊呢？？
566,不是六分五十九么
567,升华了
568,帅
569,澤野弘之的amazing tree
570,CPU烧了
571,66666
572,我产种子打自己
573,没有林尼特吗？
574,那为啥才59级
575,吕氏春秋
576,我趣好牛
577,主播默默点起了一只烟
578,这能打33星也是很有水平了
579,下半饮月君
580,"手多, 把人家歷史都鏟走"
581,hoooooo
582,卷卷有爷名
583,！啊
584,从22体力打到104体力
585,干沉默了
586,哈哈哈
587,牛逼牛逼
588,太牛逼了
589,投币了
590,牛逼牛逼
591,还牛逼
592,这号太太太难了
593,《帕鲁》
594,稳啦都稳啦
595,钓鱼的，太明显了
596,玩嘴的？
597,你在干神魔
598,极限
599,似曾相识
600,燃起来了！
601,赌徒
602,牛逼
603,要是打满有种破chu的感觉
604,种门（即答）
605,请问这怎么配队
606,沉默，是今晚的康桥
607,只养送的角色哈哈哈
608,确实，你拿这种极其痛苦的痛苦号要求别人，那就不应该羞辱别人的“无能”
609,卧槽蓟县！
610,这纯手法，你可以学
611,必须给赞
612,这算什么展示容错
613,我开服玩家也没埃洛伊，那段时间没上游戏，没想着领
614,面板都锁了还吃个毛辣椒，有这时间不如a两下
615,有点秋香，可以随便打（
616,这破号都能打，服了。
617,这种打法一眼小号，折磨深渊主播和小代的
618,厉害了
619,击杀名单
620,全角色90级
621,俄洛伊呢？》
622,好帅啊
623,bug了，59秒出来了
624,艾国
625,我打你（   ）
626,太强了
627,太折磨了
628,这是我在B站见过的最强手部乘区的深渊视频
629,还以为是赌徒的小曲，没想到是赌神
630,[OHHHHHHHHHHHHHHH]
631,[OHHHHHHHHHHH]
632,主角满命的！！！！（狗头）
633,(눈_눈)
634,天呐，撸你搁这背古诗呢？
635,全是活动送的角色
636,[ohhhhh]
637,天才
638,雷神不就是给点秋香充能的吗？
639,嘉明一边，种门一边还是有说法的
640,见过最牛逼的主播，三连了！
641,牛逼
642,你币有了
643,策划-烧鸡
644,帅！
645,帕鲁？
646,龙族？！
647,机器号吧！
648,法国队？
649,开服也没说满勤啊，谁说开服等于满勤
650,由于太简单，我还以为后面还会有一只，八分整的时候就直接退重开了
651,蓟县！
652,原来是打翅膀，我一直打眼睛，怪不得时间不够。。。
653,种门!启动
654,change your ID～
655,生死簿？
656,小万国
657,0
658,我去 生日和我一样
659,这不妥妥爽号
660,帅！
